id_parameter,cd_parameter,cd_configuration,cd_algorithm,ds_algorithm,cd_function,ds_function,id_device,ds_device,cd_dataset,cd_resource,nr_iterations,ds_tp_parameter,vl_dataset_row_size,vl_dataset_column_size,vl_grid_row_size,vl_grid_column_size,vl_block_row_size,vl_block_column_size,ds_status_parallelism,vl_block_size_percent_dataset,ds_resource,nr_nodes,nr_computing_units_cpu,nr_computing_units_gpu,vl_memory_per_cpu_computing_unit,vl_memory_per_gpu_computing_unit,ds_dataset,vl_dataset_memory_size,ds_data_type,vl_data_type_memory_size,vl_dataset_size,vl_dataset_row_size,vl_dataset_column_size,nr_random_state
72,36,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,2,2,37500,37500,,0.75,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
73,37,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,1,2500,2500,1,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
74,37,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,1,2500,2500,1,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
75,38,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,1,25,250,10,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
76,38,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,1,25,250,10,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
77,39,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,1,1,25,100,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
78,39,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,1,1,25,100,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
79,40,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,4,1,5,VAR_BLOCK_CAPACITY_SIZE,50,50,1,1,50,50,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
80,40,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,4,1,5,VAR_BLOCK_CAPACITY_SIZE,50,50,1,1,50,50,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
81,41,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,5,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000,1,1,2500000,2500000,1,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
82,41,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,5,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000,1,1,2500000,2500000,1,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
83,42,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,6,1,5,VAR_BLOCK_CAPACITY_SIZE,250000,10,1,25000,250000,10,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
84,42,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,6,1,5,VAR_BLOCK_CAPACITY_SIZE,250000,10,1,25000,250000,10,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
85,43,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,7,1,5,VAR_BLOCK_CAPACITY_SIZE,25000,100,1,250,25000,100,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
86,43,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,7,1,5,VAR_BLOCK_CAPACITY_SIZE,25000,100,1,250,25000,100,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
87,44,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,8,1,5,VAR_BLOCK_CAPACITY_SIZE,1581,1581,1,1,1581,1581,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
88,44,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,8,1,5,VAR_BLOCK_CAPACITY_SIZE,1581,1581,1,1,1581,1581,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
89,45,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,9,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000000,1,1,2500000000,2500000000,1,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
90,45,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,9,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000000,1,1,2500000000,2500000000,1,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
91,46,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,10,1,5,VAR_BLOCK_CAPACITY_SIZE,250000000,10,1,25000000,250000000,10,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
92,46,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,10,1,5,VAR_BLOCK_CAPACITY_SIZE,250000000,10,1,25000000,250000000,10,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
93,47,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,11,1,5,VAR_BLOCK_CAPACITY_SIZE,25000000,100,1,250000,25000000,100,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
94,47,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,11,1,5,VAR_BLOCK_CAPACITY_SIZE,25000000,100,1,250000,25000000,100,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
95,48,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,1,1,50000,50000,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
96,48,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,1,1,50000,50000,,1.0,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
97,49,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,1,1,5,VAR_PARALLELISM_LEVEL,2500,1,1,1,2500,1,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
98,49,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,1,1,5,VAR_PARALLELISM_LEVEL,2500,1,1,1,2500,1,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
99,50,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,2,1,5,VAR_PARALLELISM_LEVEL,250,10,1,1,250,10,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
100,50,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,2,1,5,VAR_PARALLELISM_LEVEL,250,10,1,1,250,10,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
101,51,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,3,1,5,VAR_PARALLELISM_LEVEL,25,100,1,1,25,100,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
102,51,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,3,1,5,VAR_PARALLELISM_LEVEL,25,100,1,1,25,100,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
103,52,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,4,1,5,VAR_PARALLELISM_LEVEL,50,50,1,1,50,50,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
104,52,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,4,1,5,VAR_PARALLELISM_LEVEL,50,50,1,1,50,50,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
105,53,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,5,1,5,VAR_PARALLELISM_LEVEL,2500000,1,1,1,2500000,1,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
106,53,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,5,1,5,VAR_PARALLELISM_LEVEL,2500000,1,1,1,2500000,1,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
107,54,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,6,1,5,VAR_PARALLELISM_LEVEL,250000,10,1,1,250000,10,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
108,54,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,6,1,5,VAR_PARALLELISM_LEVEL,250000,10,1,1,250000,10,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
109,55,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,7,1,5,VAR_PARALLELISM_LEVEL,25000,100,1,1,25000,100,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
110,55,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,7,1,5,VAR_PARALLELISM_LEVEL,25000,100,1,1,25000,100,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
111,56,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,8,1,5,VAR_PARALLELISM_LEVEL,1581,1581,1,1,1581,1581,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
112,56,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,8,1,5,VAR_PARALLELISM_LEVEL,1581,1581,1,1,1581,1581,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
113,57,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,9,1,5,VAR_PARALLELISM_LEVEL,2500000000,1,1,1,2500000000,1,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
114,57,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,9,1,5,VAR_PARALLELISM_LEVEL,2500000000,1,1,1,2500000000,1,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
115,58,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,10,1,5,VAR_PARALLELISM_LEVEL,250000000,10,1,1,250000000,10,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
116,58,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,10,1,5,VAR_PARALLELISM_LEVEL,250000000,10,1,1,250000000,10,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
117,59,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,11,1,5,VAR_PARALLELISM_LEVEL,25000000,100,1,1,25000000,100,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
118,59,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,11,1,5,VAR_PARALLELISM_LEVEL,25000000,100,1,1,25000000,100,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
119,60,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,12,1,5,VAR_PARALLELISM_LEVEL,50000,50000,1,1,50000,50000,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
120,60,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,12,1,5,VAR_PARALLELISM_LEVEL,50000,50000,1,1,50000,50000,MIN_INTER_MAX_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
121,61,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,1,1,5,VAR_PARALLELISM_LEVEL,2500,1,2500,1,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
122,61,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,1,1,5,VAR_PARALLELISM_LEVEL,2500,1,2500,1,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
123,62,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,2,1,5,VAR_PARALLELISM_LEVEL,250,10,250,10,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
124,62,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,2,1,5,VAR_PARALLELISM_LEVEL,250,10,250,10,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
125,63,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,3,1,5,VAR_PARALLELISM_LEVEL,25,100,25,100,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
126,63,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,3,1,5,VAR_PARALLELISM_LEVEL,25,100,25,100,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
127,64,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,4,1,5,VAR_PARALLELISM_LEVEL,50,50,50,50,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
128,64,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,4,1,5,VAR_PARALLELISM_LEVEL,50,50,50,50,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
129,65,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,5,1,5,VAR_PARALLELISM_LEVEL,2500000,1,2500000,1,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
130,65,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,5,1,5,VAR_PARALLELISM_LEVEL,2500000,1,2500000,1,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
131,66,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,6,1,5,VAR_PARALLELISM_LEVEL,250000,10,250000,10,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
132,66,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,6,1,5,VAR_PARALLELISM_LEVEL,250000,10,250000,10,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
133,67,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,7,1,5,VAR_PARALLELISM_LEVEL,25000,100,25000,100,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
134,67,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,7,1,5,VAR_PARALLELISM_LEVEL,25000,100,25000,100,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
135,68,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,8,1,5,VAR_PARALLELISM_LEVEL,1581,1581,1581,1581,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
136,68,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,8,1,5,VAR_PARALLELISM_LEVEL,1581,1581,1581,1581,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_4,10000000,FLOAT32,4,2499561,1581,1581,170
137,69,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,9,1,5,VAR_PARALLELISM_LEVEL,2500000000,1,2500000000,1,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
138,69,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,9,1,5,VAR_PARALLELISM_LEVEL,2500000000,1,2500000000,1,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_1,10000000000,FLOAT32,4,2500000000,2500000000,1,170
139,70,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,10,1,5,VAR_PARALLELISM_LEVEL,250000000,10,250000000,10,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
140,70,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,10,1,5,VAR_PARALLELISM_LEVEL,250000000,10,250000000,10,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
141,71,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,11,1,5,VAR_PARALLELISM_LEVEL,25000000,100,25000000,100,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
142,71,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,11,1,5,VAR_PARALLELISM_LEVEL,25000000,100,25000000,100,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
143,72,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,12,1,5,VAR_PARALLELISM_LEVEL,50000,50000,50000,50000,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
144,72,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,12,1,5,VAR_PARALLELISM_LEVEL,50000,50000,50000,50000,1,1,MAX_INTER_MIN_INTRA,,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
